id,description,type
1,was a woman,general
2,was a British mathematician,general
3,was an American computer scientist,general
4,was considered the first computer programmer,specific
5,developed the concept of the Turing Machine,specific
6,developed the first compiler for a computer programming language,specific
7,was a pioneer in computer science,general
8,was a co-founder of a major tech company,general
9,was influential in the development of the internet,general
10,invented a programming language,specific
11,created significant software,specific
12,designed influential computer hardware,specific
